위도,경도,station_name,charger_count,match_dist_m
33.4917177,126.8112798,비자림,2,15.9
33.4929788,126.4321011,외도동주민센터,1,24.8
33.4934243,126.4910318,호텔시리우스,1,6.9
33.4949207,126.5224484,도남 e편한세상,1,5.5
33.4963094,126.514302,제주시 공공시설 충전소 #2,5,221.7
33.497247,126.4748883,제주시 민속오일시장 6주차장(오일시장 일대 공영주차장),3,88.6
33.4992763,126.5161975,삼도일동 공영주차장,1,24.9
33.4995679,126.531138,제주시청 직장어린이집,1,0.0
33.4996252,126.6501418,제주도 상하수도본부,1,13.8
33.4997335,126.5404167,경제통상진흥원,1,65.4
33.4998127,126.4581025,이호동주민센터,1,20.5
33.5030652,126.5360002,동부경찰서,3,6.4
33.5044361,126.5348999,문화예술진흥원,2,98.1
33.5045996,126.5303837,삼성혈 인근 공영주차장,1,15.8
33.5047445,126.544057,신천지아파트,1,27.0
33.506392,126.5313379,민속자연사박물관,1,110.8
33.5068505,126.526896,이도1동주민센터,1,0.0
33.507747,126.4930852,제주국제공항 행사주차장,1,188.8
33.5094569,126.5135569,용담1동주민센터,2,26.8
33.5096823,126.7156478,워터 제주 동백동산탐방안내소주차장,1,48.6
33.5106386,126.544151,일도이동공영주차장,1,27.9
33.5132796,126.5446836,사라봉다목적체육관(제주),2,52.6
33.5143521,126.5895374,한국교통안전공단제주자동차검사소,2,17.2
33.5144164,126.5018584,제주해안경비단 1경비대,1,44.3
33.514892,126.5114,용두암 공영주차장,1,17.3
33.5150213,126.5315146,건입동주민센터,1,8.9
33.5152833,126.6938,선흘리 낙선동4.3 유적지,2,20.4
33.5188062,126.5181385,쉐라톤제주,1,0.0
33.5196116,126.5828073,한샘어린이집 맞은편 공영주차장,2,22.3
33.5200555,126.5390674,제주소방서 항만119센터,1,30.3
33.5204366,126.5653952,화북동주민센터,1,33.5
33.5213339,126.8532398,동녘도서관,2,149.7
33.5218207,126.5855752,삼양동주민센터,1,22.9
33.52208,126.5845337,동명아파트북측공영주차장,1,2.5
33.522567,126.8520369,구좌읍주민센터,1,4.5
33.5246923,126.8561275,세화리 공영주차장,1,1.0
33.5250618,126.8564138,세화민속오일장 인근 주차장 (오일장 인근 주차장),1,1.8
33.5250801,126.8531982,평대리 공영주차장,1,17.6
33.5272757,126.592205,한국중부발전㈜ 제주화력본부 사택,2,39.3
33.5283774,126.7716157,만장굴관리소,1,21.9
33.5343999,126.6341879,조천읍사무소,2,39.2
33.536849,126.6697035,㈜행운식품,1,21.9
33.5377042,126.6676197,조천도서관,2,47.9
33.5395361,126.6437192,조천체육관,1,30.7
33.5413669,126.8158368,용암해수산업화지원센터 2호관,2,32.2
33.541617,126.642888,조천 항일기념관,4,25.0
33.5424865,126.8122746,한국해양과학기술원 제주연구소 후문주차장,1,94.3
33.5460288,126.688649,북촌 너븐숭이4.3 기념관,1,26.2
33.5541873,126.7626785,김녕119지역센터,2,30.3
33.562829,126.7789,제주동부하수처리장,2,82.4
33.9635189,126.2960724,추자면사무소,1,22.5
