charger_pk,weekday,hour,사용빈도수
175,1,10,0.41346153846153844
175,1,11,0.46153846153846156
175,1,12,0.6153846153846154
175,1,13,0.3076923076923077
175,1,14,0.4230769230769231
175,1,15,0.4230769230769231
175,1,16,0.3942307692307692
175,1,17,0.5769230769230769
175,1,18,0.7692307692307693
175,1,19,0.6730769230769231
175,1,20,0.5
175,1,21,0.46153846153846156
175,1,22,0.4519230769230769
175,1,23,0.4807692307692308
175,2,0,0.3173076923076923
175,2,1,0.09615384615384616
175,2,2,0.019230769230769232
175,2,3,0.04807692307692308
175,2,4,0.038461538461538464
175,2,5,0.09615384615384616
175,2,6,0.33653846153846156
175,2,7,0.33653846153846156
175,2,8,0.4230769230769231
175,2,9,0.5769230769230769
175,2,10,0.375
175,2,11,0.40384615384615385
175,2,12,0.5384615384615384
175,2,13,0.41346153846153844
175,2,14,0.3557692307692308
175,2,15,0.40384615384615385
175,2,16,0.5096153846153846
175,2,17,0.625
175,2,18,0.8461538461538461
175,2,19,0.7403846153846154
175,2,20,0.5865384615384616
175,2,21,0.5480769230769231
175,2,22,0.5096153846153846
175,2,23,0.41346153846153844
175,3,0,0.25
175,3,1,0.0673076923076923
175,3,2,0.04807692307692308
175,3,3,0.019230769230769232
175,3,4,0.038461538461538464
175,3,5,0.10576923076923077
175,3,6,0.28846153846153844
175,3,7,0.49038461538461536
175,3,8,0.5961538461538461
175,3,9,0.5096153846153846
175,3,10,0.47115384615384615
175,3,11,0.4519230769230769
175,3,12,0.5384615384615384
175,3,13,0.47115384615384615
175,3,14,0.4230769230769231
175,3,15,0.3557692307692308
175,3,16,0.4230769230769231
175,3,17,0.5384615384615384
175,3,18,0.6923076923076923
175,3,19,0.6634615384615384
175,3,20,0.6346153846153846
175,3,21,0.5
175,3,22,0.47115384615384615
175,3,23,0.5
175,4,0,0.20192307692307693
175,4,1,0.1346153846153846
175,4,2,0.04807692307692308
175,4,3,0.009615384615384616
175,4,4,0.038461538461538464
175,4,5,0.14423076923076922
175,4,6,0.41346153846153844
175,4,7,0.4326923076923077
175,4,8,0.4807692307692308
175,4,9,0.5192307692307693
175,4,10,0.375
175,4,11,0.4423076923076923
175,4,12,0.47115384615384615
175,4,13,0.4326923076923077
175,4,14,0.38461538461538464
175,4,15,0.46153846153846156
175,4,16,0.5
175,4,17,0.4519230769230769
175,4,18,0.5384615384615384
175,4,19,0.47115384615384615
175,4,20,0.41346153846153844
175,4,21,0.4807692307692308
175,4,22,0.4519230769230769
175,4,23,0.47115384615384615
175,5,0,0.2980769230769231
175,5,1,0.19230769230769232
175,5,2,0.057692307692307696
175,5,3,0.0
175,5,4,0.04807692307692308
175,5,5,0.0673076923076923
175,5,6,0.22115384615384615
175,5,7,0.4519230769230769
175,5,8,0.4230769230769231
175,5,9,0.49038461538461536
175,5,10,0.40384615384615385
175,5,11,0.4423076923076923
175,5,12,0.6153846153846154
175,5,13,0.5576923076923077
175,5,14,0.38461538461538464
175,5,15,0.5192307692307693
175,5,16,0.5384615384615384
175,5,17,0.49038461538461536
175,5,18,0.5673076923076923
175,5,19,0.5288461538461539
175,5,20,0.4230769230769231
175,5,21,0.3173076923076923
175,5,22,0.3942307692307692
175,5,23,0.4423076923076923
175,6,0,0.25
175,6,1,0.07692307692307693
175,6,2,0.057692307692307696
175,6,3,0.019230769230769232
175,6,4,0.019230769230769232
175,6,5,0.038461538461538464
175,6,6,0.10576923076923077
175,6,7,0.22115384615384615
175,6,8,0.2980769230769231
175,6,9,0.28846153846153844
175,6,10,0.375
175,6,11,0.36538461538461536
175,6,12,0.3269230769230769
175,6,13,0.3557692307692308
175,6,14,0.41346153846153844
175,6,15,0.5096153846153846
175,6,16,0.5576923076923077
175,6,17,0.5384615384615384
175,6,18,0.6634615384615384
175,6,19,0.5961538461538461
175,6,20,0.5576923076923077
175,6,21,0.6730769230769231
